szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
"Diamond, Diana",Széllel szemben,,,2-001225,2854946,,,9639459747,    .  .  ,2004,???
"Anderson, Catherine",Fantomkeringõ,,,2-001226,2856032,,,9639459771,    .  .  ,2001,???
Darvas József,Város az ingoványon,,,2-001231,2854656,,,,    .  .  ,1965,???
Illés Béla,Aranyliba : Összegyûjtött elbeszélések. 1920-1964,,,2-001232,2857596,,,,    .  .  ,1965,???
Pernesz Gyula,A Kisfaludy Károly Megyei Könyvtár évkönyve 1965,,,2-001236,2873817,,,,    .  .  ,1965,???
Kosztolányi Dezsõ,Kosztolányi Dezsõ elbeszélései,,,2-001237,2860138,,,,    .  .  ,1965,???
"Báz, Eduard",A csodacsapat,,,2-001239,2852942,,,,    .  .  ,1965,???
Götz József,Szerelõipari gépek,,,2-001244,2877334,,,,    .  .  ,1965,???
Koncsek László,Bibliai földeken,,,2-001258,2881485,,,,    .  .  ,1964,???
"Sadoveanu, Mihail",Virágöböl,,,2-001259,2865690,,,,    .  .  ,1963,???
"Balzac, Honoré de",César Birotteau nagysága és bukása,,,2-001263,2851198,,,,    .  .  ,1964,???
Kiss Bitay Éva,A természet törvénye : Csodálatos fajfenntartás,,,2-001264,2871554,,,,    .  .  ,É.N.,???
Mikszáth Kálmán,Akli Miklós cs. kir. udvari mulattató története,,,2-001266,2861463,,,,    .  .  ,1963,???
"Bates, Herbert Ernest",Jó széllel francia partra,,,2-001269,2852935,,,,    .  .  ,1971,???
"Andersen Nexö, Martin","Ditte, az ember lánya",,,2-001270,2862804,,,,    .  .  ,1965,???
Fekete István,Kele,,,2-001279,2854052,,,,    .  .  ,1964,???
"Mann, Thomas",A kiválasztott,,,2-001283,2861357,,,,    .  .  ,1965,???
"Dickens, Charles",A Pickwick Klub,,,2-001291,2854953,,,,    .  .  ,1961,???
"O'Casey, Sean","Zörgettem az ajtón : Futó pillantás dolgokra, melyeknek magam köszönhetem",,,2-001293,2863351,,,,    .  .  ,1963,???
Szabó Lõrinc,Örök barátaink : A költõ kisebb lírai versfordításai,,,2-001295/01,2867205,,,,    .  .  ,1964,???
Szabó Lõrinc,Örök barátaink : A költõ kisebb lírai versfordításai,,,2-001295/02,2867250,,,,    .  .  ,1964,???
Hegedûs Géza,Az életmûvész hagyatéka,,,2-001305,2857077,,,,    .  .  ,1964,???
Román József,"Mondák, eposzok, legendák",,,2-001311,2863719,,,,    .  .  ,1964,???
Garai Gábor,Magyar versek könyve,,,2-001312,2861456,,,,    .  .  ,1963,???
Hegedüs András,Robot és szolgálat : Gárdonyi Géza Gyõrött (1886-1888),,,2-001317,2880723,,,,    .  .  ,1965,???
Heltai Jenõ,Kiskirályok : Family Hotel ; VII. Emánuel és kora,,,2-001323,2857565,,,,    .  .  ,1961,???
Galgóczi Erzsébet,Félúton,,,2-001324,2856681,,,,    .  .  ,1961,???
Kodolányi János,Baranyai utazás,,,2-001329,2860053,,,,    .  .  ,1963,???
Dobozy Imre,Holnap folytatjuk,,,2-001339,2853574,,,,    .  .  ,1963,???
Németh László,Bûn,,,2-001344,2864617,,,,    .  .  ,1966,???
Mohácsy Mátyás,"Szamóca, málna, szeder",,,2-001345,2877662,,,,    .  .  ,1965,???
Gerencsér Miklós,Tilalomfa,,,2-001348,2856452,,,,    .  .  ,1966,???
,Különös históriák,,,2-001350,2860459,,,,    .  .  ,É.N.,???
"Pirandello, Luigi",A kitaszított,,,2-001351,2864051,,,,    .  .  ,1966,???
"Jacobi, Bernhard",Templomok és paloták : Séta elsüllyedt városokon keresztül,,,2-001354,2882208,,,,    .  .  ,1966,???
Láng György,A Tamás templom karnagya : Johann Sebastian Bach életének regénye,,,2-001357,2860541,,,,    .  .  ,1966,???
Hegedüs András,"Gyõr irodalmi örökségébõl : Petõfi Sándor és a gyõri ""Hazánk""",,,2-001360,2880877,,,,    .  .  ,1961,???
