szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
"Milne, Alan Alexander",Holnemvolt,2-003437,2872957,9631133923,    .  .  ,1983,???,könyv,???
Móra Ferenc,Az aranyszõrû bárány,2-003438,2870793,9631130487,    .  .  ,1983,???,könyv,???
Móra Ferenc,Rab ember fiai,2-003439,2862392,,    .  .  ,1985,???,könyv,???
Mosonyi Aliz,Szekrénymesék : 35 rövid mese,2-003440,2870618,963113914X,    .  .  ,1985,???,könyv,???
"Musierowicz, Malgorzata",A hazudozó,2-003442,2864587,9631154238,    .  .  ,1988,???,könyv,???
Nagy Katalin,Szív a kerítésen,2-003443,2864129,9631164462,    .  .  ,1989,???,könyv,???
Nagy Katalin,Az elvarázsolt iskola,2-003444,2871431,9631135756,    .  .  ,1984,???,könyv,???
Nagy Franciska,Ûrbicikli : Fantasztikus meseregény,2-003446,2871585,9631136361,    .  .  ,1984,???,könyv,???
"Nast, Clara",Csöpike az iskolában,2-003447,2871486,9637407650,    .  .  ,1990,???,könyv,???
"Aszódi Éva, T.",Nefelejcs : Szép magyar versek kisiskolásoknak,2-003449,2871561,9631142361,    .  .  ,1986,???,könyv,???
Nemes Nagy Ágnes,Szökõkút,2-003450,2871790,9631136914,    .  .  ,1984,???,könyv,???
"Nienacki, Zbigniew",Autócska úr és a titkok titka,2-003452,2864068,9631138712,    .  .  ,1984,???,könyv,???
Nógrádi Gábor,A mi Kinizsink,2-003453,2863009,9631166007,    .  .  ,1990,???,könyv,???
"Nöstlinger, Christine",Órarend randevúval,2-003454,2863153,9631136515,    .  .  ,1984,???,könyv,???
Nógrádi Gábor,Hecseki és a kedves betörõk,2-003455,2862958,9631153118,    .  .  ,1987,???,könyv,???
Orbán Ottó,Mese a csodálatos nyárról,2-003456,2870601,9631138801,    .  .  ,1984,???,könyv,???
Orbán Dezsõ,Az ezüstflotta kincse,2-003458,2862798,9631164071,    .  .  ,1989,???,könyv,???
"Ott, Dieter",Az ördöngös Caprioli,2-003460,2863092,9631151395,    .  .  ,1987,???,könyv,???
Padisák Mihály,Ki tapsol nekem?,2-003461,2862880,9631166325,    .  .  ,1990,???,könyv,???
Padisák Mihály,"Kanóc, az emberszelídítõ",2-003462,2862835,9631138720,    .  .  ,1984,???,könyv,???
Páskándi Géza,A Nagy Légyölõ meg Szuszóka és Miló,2-003463,2863375,9637572015,    .  .  ,1991,???,könyv,???
Petrovácz István,Lány a Wiktorskán,2-003464,2862910,9631138577,    .  .  ,1984,???,könyv,???
Petrovácz István,Keserû vakáció,2-003465,2862866,963115226X,    .  .  ,1987,???,könyv,???
Rákos Sándor,A király és az ûrutazó : Mesék Gilgamesrõl és Etanáról,2-003466,2870946,9631140016,    .  .  ,1985,???,könyv,???
Rónaszegi Miklós,A gézengúzok az Alpok alján,2-003469,2866000,9631167127,    .  .  ,1991,???,könyv,???
"Saint-Exupéry, Antoine de",A kis herceg,2-003472,2865591,9631151204,    .  .  ,1987,???,könyv,???
